,0
0,467000
1,468000
2,469000
3,470000
4,471000
5,472000
6,473000
7,474000
8,475000
9,476000
10,477000
11,478000
12,479000
13,480000
14,481000
15,482000
16,483000
17,484000
18,485000
19,486000
20,487000
21,766000
22,767000
23,768000
24,769000
25,770000
26,771000
27,772000
28,773000
29,774000
30,775000
31,776000
32,777000
33,778000
34,779000
35,780000
36,781000
37,782000
38,783000
39,784000
40,785000
41,786000
42,787000
43,788000
44,789000
45,790000
46,791000
47,792000
48,793000
49,794000
50,795000
51,796000
52,797000
53,798000
54,799000
55,800000
56,801000
57,802000
58,803000
59,804000
60,805000
61,806000
62,807000
63,808000
64,809000
65,467000
66,468000
67,469000
68,470000
69,471000
70,472000
71,473000
72,474000
73,475000
74,476000
75,477000
76,478000
77,479000
78,480000
79,481000
80,482000
81,483000
82,484000
83,485000
84,486000
85,487000
86,767000
87,768000
88,769000
89,770000
90,771000
91,772000
92,773000
93,774000
94,775000
95,776000
96,777000
97,778000
98,779000
99,780000
100,781000
101,782000
102,783000
103,784000
104,785000
105,786000
106,787000
107,788000
108,789000
109,790000
110,791000
111,792000
112,793000
113,794000
114,795000
115,796000
116,797000
117,798000
118,799000
119,800000
120,801000
121,802000
122,803000
123,804000
124,805000
125,806000
126,807000
127,808000
128,809000
129,467000
130,468000
131,469000
132,470000
133,471000
134,472000
135,473000
136,474000
137,475000
138,476000
139,477000
140,478000
141,479000
142,480000
143,481000
144,482000
145,483000
146,484000
147,485000
148,486000
149,767000
150,768000
151,769000
152,770000
153,771000
154,772000
155,773000
156,774000
157,775000
158,776000
159,777000
160,778000
161,779000
162,780000
163,781000
164,782000
165,783000
166,784000
167,785000
168,786000
169,787000
170,788000
171,789000
172,790000
173,791000
174,792000
175,793000
176,794000
177,795000
178,796000
179,797000
180,798000
181,799000
182,800000
183,801000
184,802000
185,803000
186,804000
187,805000
188,806000
189,807000
190,808000
191,809000
192,467000
193,468000
194,469000
195,470000
196,471000
197,472000
198,473000
199,474000
200,475000
201,476000
202,477000
203,478000
204,479000
205,480000
206,481000
207,482000
208,483000
209,484000
210,485000
211,486000
212,767000
213,768000
214,769000
215,770000
216,771000
217,772000
218,773000
219,774000
220,775000
221,776000
222,777000
223,778000
224,779000
225,780000
226,781000
227,782000
228,783000
229,784000
230,785000
231,786000
232,787000
233,788000
234,789000
235,790000
236,791000
237,792000
238,793000
239,794000
240,795000
241,796000
242,797000
243,798000
244,799000
245,800000
246,801000
247,802000
248,803000
249,804000
250,805000
251,806000
252,807000
253,808000
254,809000
255,467000
256,468000
257,469000
258,470000
259,471000
260,472000
261,473000
262,474000
263,475000
264,476000
265,477000
266,478000
267,479000
268,480000
269,481000
270,482000
271,483000
272,484000
273,485000
274,486000
275,768000
276,769000
277,770000
278,771000
279,772000
280,773000
281,774000
282,775000
283,776000
284,777000
285,778000
286,779000
287,780000
288,781000
289,782000
290,783000
291,784000
292,785000
293,786000
294,787000
295,788000
296,789000
297,790000
298,791000
299,792000
300,793000
301,794000
302,795000
303,796000
304,797000
305,798000
306,799000
307,800000
308,801000
309,802000
310,803000
311,804000
312,805000
313,806000
314,807000
315,808000
316,809000
317,467000
318,468000
319,469000
320,470000
321,471000
322,472000
323,473000
324,474000
325,475000
326,476000
327,477000
328,478000
329,479000
330,480000
331,481000
332,482000
333,483000
334,484000
335,485000
336,486000
337,769000
338,770000
339,771000
340,772000
341,773000
342,774000
343,775000
344,776000
345,777000
346,778000
347,779000
348,780000
349,781000
350,782000
351,783000
352,784000
353,785000
354,786000
355,787000
356,788000
357,789000
358,790000
359,791000
360,792000
361,793000
362,794000
363,795000
364,796000
365,797000
366,798000
367,799000
368,800000
369,801000
370,802000
371,803000
372,804000
373,805000
374,806000
375,807000
376,808000
377,809000
378,467000
379,468000
380,469000
381,470000
382,471000
383,472000
384,473000
385,474000
386,475000
387,476000
388,477000
389,478000
390,479000
391,480000
392,481000
393,482000
394,483000
395,484000
396,485000
397,486000
398,769000
399,770000
400,771000
401,772000
402,773000
403,774000
404,775000
405,776000
406,777000
407,778000
408,779000
409,780000
410,781000
411,782000
412,783000
413,784000
414,785000
415,786000
416,787000
417,788000
418,789000
419,790000
420,791000
421,792000
422,793000
423,794000
424,795000
425,796000
426,797000
427,798000
428,799000
429,800000
430,801000
431,802000
432,803000
433,804000
434,805000
435,806000
436,807000
437,808000
438,809000
439,467000
440,468000
441,469000
442,470000
443,471000
444,472000
445,473000
446,474000
447,475000
448,476000
449,477000
450,478000
451,479000
452,480000
453,481000
454,482000
455,483000
456,484000
457,485000
458,486000
459,770000
460,771000
461,772000
462,773000
463,774000
464,775000
465,776000
466,777000
467,778000
468,779000
469,780000
470,781000
471,782000
472,783000
473,784000
474,785000
475,786000
476,787000
477,788000
478,789000
479,790000
480,791000
481,792000
482,793000
483,794000
484,795000
485,796000
486,797000
487,798000
488,799000
489,800000
490,801000
491,802000
492,803000
493,804000
494,805000
495,806000
496,807000
497,808000
498,809000
499,467000
500,468000
501,469000
502,470000
503,471000
504,472000
505,473000
506,474000
507,475000
508,476000
509,477000
510,478000
511,479000
512,771000
513,772000
514,773000
515,774000
516,775000
517,776000
518,777000
519,778000
520,779000
521,780000
522,781000
523,782000
524,783000
525,784000
526,785000
527,786000
528,787000
529,788000
530,789000
531,790000
532,791000
533,792000
534,793000
535,794000
536,795000
537,796000
538,797000
539,798000
540,799000
541,800000
542,801000
543,802000
544,803000
545,804000
546,805000
547,806000
548,807000
549,808000
550,809000
551,467000
552,468000
553,469000
554,470000
555,471000
556,472000
557,473000
558,474000
559,475000
560,476000
561,477000
562,478000
563,479000
564,771000
565,772000
566,773000
567,774000
568,775000
569,776000
570,777000
571,778000
572,779000
573,780000
574,781000
575,782000
576,783000
577,784000
578,785000
579,786000
580,787000
581,788000
582,789000
583,790000
584,791000
585,792000
586,793000
587,794000
588,795000
589,796000
590,797000
591,798000
592,799000
593,800000
594,801000
595,802000
596,803000
597,804000
598,805000
599,806000
600,807000
601,808000
602,809000
603,467000
604,468000
605,469000
606,470000
607,471000
608,472000
609,473000
610,474000
611,475000
612,476000
613,477000
614,478000
615,772000
616,773000
617,774000
618,775000
619,776000
620,777000
621,778000
622,779000
623,780000
624,781000
625,782000
626,783000
627,784000
628,785000
629,786000
630,787000
631,788000
632,789000
633,790000
634,791000
635,792000
636,793000
637,794000
638,795000
639,796000
640,797000
641,798000
642,799000
643,800000
644,801000
645,802000
646,803000
647,804000
648,805000
649,806000
650,807000
651,808000
652,809000
653,467000
654,468000
655,469000
656,470000
657,471000
658,472000
659,473000
660,474000
661,773000
662,774000
663,775000
664,776000
665,777000
666,778000
667,779000
668,780000
669,781000
670,782000
671,783000
672,784000
673,785000
674,786000
675,787000
676,788000
677,789000
678,790000
679,791000
680,792000
681,793000
682,794000
683,795000
684,796000
685,797000
686,798000
687,799000
688,800000
689,801000
690,802000
691,803000
692,804000
693,805000
694,806000
695,807000
696,808000
697,809000
698,467000
699,468000
700,469000
701,470000
702,471000
703,472000
704,473000
705,773000
706,774000
707,775000
708,776000
709,777000
710,778000
711,779000
712,780000
713,781000
714,782000
715,783000
716,784000
717,785000
718,786000
719,787000
720,788000
721,789000
722,790000
723,791000
724,792000
725,793000
726,794000
727,795000
728,796000
729,797000
730,798000
731,799000
732,800000
733,801000
734,802000
735,803000
736,804000
737,805000
738,806000
739,807000
740,808000
741,809000
742,467000
743,468000
744,469000
745,470000
746,471000
747,472000
748,473000
749,774000
750,775000
751,776000
752,777000
753,778000
754,779000
755,780000
756,781000
757,782000
758,783000
759,784000
760,785000
761,786000
762,787000
763,788000
764,789000
765,790000
766,791000
767,792000
768,793000
769,794000
770,795000
771,796000
772,797000
773,798000
774,799000
775,800000
776,801000
777,802000
778,803000
779,804000
780,805000
781,806000
782,807000
783,808000
784,809000
785,467000
786,468000
787,469000
788,470000
789,471000
790,472000
791,473000
792,774000
793,775000
794,776000
795,777000
796,778000
797,779000
798,780000
799,781000
800,782000
801,783000
802,784000
803,785000
804,786000
805,787000
806,788000
807,789000
808,790000
809,791000
810,792000
811,793000
812,794000
813,795000
814,796000
815,797000
816,798000
817,799000
818,800000
819,801000
820,802000
821,803000
822,804000
823,805000
824,806000
825,807000
826,808000
827,809000
828,467000
829,468000
830,469000
831,470000
832,471000
833,472000
834,473000
835,774000
836,775000
837,776000
838,777000
839,778000
840,779000
841,780000
842,781000
843,782000
844,783000
845,784000
846,785000
847,786000
848,787000
849,788000
850,789000
851,790000
852,791000
853,792000
854,793000
855,794000
856,795000
857,796000
858,797000
859,798000
860,799000
861,800000
862,801000
863,802000
864,803000
865,804000
866,805000
867,806000
868,807000
869,808000
870,809000
871,467000
872,468000
873,469000
874,470000
875,471000
876,472000
877,776000
878,777000
879,778000
880,779000
881,780000
882,781000
883,782000
884,783000
885,784000
886,785000
887,786000
888,787000
889,788000
890,789000
891,790000
892,791000
893,792000
894,793000
895,794000
