,0
0,194000
1,194000
2,194000
3,194000
4,194000
5,194000
6,194000
7,194000
8,194000
9,194000
10,194000
11,194000
12,194000
13,194000
14,194000
15,194000
16,194000
17,194000
18,194000
19,194000
20,194000
21,194000
22,194000
23,194000
24,194000
25,194000
26,194000
27,194000
28,194000
29,194000
30,194000
31,194000
32,194000
33,194000
34,194000
35,194000
36,194000
37,194000
38,194000
39,194000
40,194000
41,194000
42,194000
43,194000
44,194000
45,194000
46,194000
47,194000
48,194000
49,194000
50,194000
51,194000
52,194000
53,194000
54,194000
55,194000
56,194000
57,194000
58,194000
59,194000
60,194000
61,194000
62,194000
63,194000
64,194000
65,195000
66,195000
67,195000
68,195000
69,195000
70,195000
71,195000
72,195000
73,195000
74,195000
75,195000
76,195000
77,195000
78,195000
79,195000
80,195000
81,195000
82,195000
83,195000
84,195000
85,195000
86,195000
87,195000
88,195000
89,195000
90,195000
91,195000
92,195000
93,195000
94,195000
95,195000
96,195000
97,195000
98,195000
99,195000
100,195000
101,195000
102,195000
103,195000
104,195000
105,195000
106,195000
107,195000
108,195000
109,195000
110,195000
111,195000
112,195000
113,195000
114,195000
115,195000
116,195000
117,195000
118,195000
119,195000
120,195000
121,195000
122,195000
123,195000
124,195000
125,195000
126,195000
127,195000
128,195000
129,196000
130,196000
131,196000
132,196000
133,196000
134,196000
135,196000
136,196000
137,196000
138,196000
139,196000
140,196000
141,196000
142,196000
143,196000
144,196000
145,196000
146,196000
147,196000
148,196000
149,196000
150,196000
151,196000
152,196000
153,196000
154,196000
155,196000
156,196000
157,196000
158,196000
159,196000
160,196000
161,196000
162,196000
163,196000
164,196000
165,196000
166,196000
167,196000
168,196000
169,196000
170,196000
171,196000
172,196000
173,196000
174,196000
175,196000
176,196000
177,196000
178,196000
179,196000
180,196000
181,196000
182,196000
183,196000
184,196000
185,196000
186,196000
187,196000
188,196000
189,196000
190,196000
191,196000
192,197000
193,197000
194,197000
195,197000
196,197000
197,197000
198,197000
199,197000
200,197000
201,197000
202,197000
203,197000
204,197000
205,197000
206,197000
207,197000
208,197000
209,197000
210,197000
211,197000
212,197000
213,197000
214,197000
215,197000
216,197000
217,197000
218,197000
219,197000
220,197000
221,197000
222,197000
223,197000
224,197000
225,197000
226,197000
227,197000
228,197000
229,197000
230,197000
231,197000
232,197000
233,197000
234,197000
235,197000
236,197000
237,197000
238,197000
239,197000
240,197000
241,197000
242,197000
243,197000
244,197000
245,197000
246,197000
247,197000
248,197000
249,197000
250,197000
251,197000
252,197000
253,197000
254,197000
255,198000
256,198000
257,198000
258,198000
259,198000
260,198000
261,198000
262,198000
263,198000
264,198000
265,198000
266,198000
267,198000
268,198000
269,198000
270,198000
271,198000
272,198000
273,198000
274,198000
275,198000
276,198000
277,198000
278,198000
279,198000
280,198000
281,198000
282,198000
283,198000
284,198000
285,198000
286,198000
287,198000
288,198000
289,198000
290,198000
291,198000
292,198000
293,198000
294,198000
295,198000
296,198000
297,198000
298,198000
299,198000
300,198000
301,198000
302,198000
303,198000
304,198000
305,198000
306,198000
307,198000
308,198000
309,198000
310,198000
311,198000
312,198000
313,198000
314,198000
315,198000
316,198000
317,199000
318,199000
319,199000
320,199000
321,199000
322,199000
323,199000
324,199000
325,199000
326,199000
327,199000
328,199000
329,199000
330,199000
331,199000
332,199000
333,199000
334,199000
335,199000
336,199000
337,199000
338,199000
339,199000
340,199000
341,199000
342,199000
343,199000
344,199000
345,199000
346,199000
347,199000
348,199000
349,199000
350,199000
351,199000
352,199000
353,199000
354,199000
355,199000
356,199000
357,199000
358,199000
359,199000
360,199000
361,199000
362,199000
363,199000
364,199000
365,199000
366,199000
367,199000
368,199000
369,199000
370,199000
371,199000
372,199000
373,199000
374,199000
375,199000
376,199000
377,199000
378,200000
379,200000
380,200000
381,200000
382,200000
383,200000
384,200000
385,200000
386,200000
387,200000
388,200000
389,200000
390,200000
391,200000
392,200000
393,200000
394,200000
395,200000
396,200000
397,200000
398,200000
399,200000
400,200000
401,200000
402,200000
403,200000
404,200000
405,200000
406,200000
407,200000
408,200000
409,200000
410,200000
411,200000
412,200000
413,200000
414,200000
415,200000
416,200000
417,200000
418,200000
419,200000
420,200000
421,200000
422,200000
423,200000
424,200000
425,200000
426,200000
427,200000
428,200000
429,200000
430,200000
431,200000
432,200000
433,200000
434,200000
435,200000
436,200000
437,200000
438,200000
439,201000
440,201000
441,201000
442,201000
443,201000
444,201000
445,201000
446,201000
447,201000
448,201000
449,201000
450,201000
451,201000
452,201000
453,201000
454,201000
455,201000
456,201000
457,201000
458,201000
459,201000
460,201000
461,201000
462,201000
463,201000
464,201000
465,201000
466,201000
467,201000
468,201000
469,201000
470,201000
471,201000
472,201000
473,201000
474,201000
475,201000
476,201000
477,201000
478,201000
479,201000
480,201000
481,201000
482,201000
483,201000
484,201000
485,201000
486,201000
487,201000
488,201000
489,201000
490,201000
491,201000
492,201000
493,201000
494,201000
495,201000
496,201000
497,201000
498,201000
499,202000
500,202000
501,202000
502,202000
503,202000
504,202000
505,202000
506,202000
507,202000
508,202000
509,202000
510,202000
511,202000
512,202000
513,202000
514,202000
515,202000
516,202000
517,202000
518,202000
519,202000
520,202000
521,202000
522,202000
523,202000
524,202000
525,202000
526,202000
527,202000
528,202000
529,202000
530,202000
531,202000
532,202000
533,202000
534,202000
535,202000
536,202000
537,202000
538,202000
539,202000
540,202000
541,202000
542,202000
543,202000
544,202000
545,202000
546,202000
547,202000
548,202000
549,202000
550,202000
551,203000
552,203000
553,203000
554,203000
555,203000
556,203000
557,203000
558,203000
559,203000
560,203000
561,203000
562,203000
563,203000
564,203000
565,203000
566,203000
567,203000
568,203000
569,203000
570,203000
571,203000
572,203000
573,203000
574,203000
575,203000
576,203000
577,203000
578,203000
579,203000
580,203000
581,203000
582,203000
583,203000
584,203000
585,203000
586,203000
587,203000
588,203000
589,203000
590,203000
591,203000
592,203000
593,203000
594,203000
595,203000
596,203000
597,203000
598,203000
599,203000
600,203000
601,203000
602,203000
603,204000
604,204000
605,204000
606,204000
607,204000
608,204000
609,204000
610,204000
611,204000
612,204000
613,204000
614,204000
615,204000
616,204000
617,204000
618,204000
619,204000
620,204000
621,204000
622,204000
623,204000
624,204000
625,204000
626,204000
627,204000
628,204000
629,204000
630,204000
631,204000
632,204000
633,204000
634,204000
635,204000
636,204000
637,204000
638,204000
639,204000
640,204000
641,204000
642,204000
643,204000
644,204000
645,204000
646,204000
647,204000
648,204000
649,204000
650,204000
651,204000
652,204000
653,205000
654,205000
655,205000
656,205000
657,205000
658,205000
659,205000
660,205000
661,205000
662,205000
663,205000
664,205000
665,205000
666,205000
667,205000
668,205000
669,205000
670,205000
671,205000
672,205000
673,205000
674,205000
675,205000
676,205000
677,205000
678,205000
679,205000
680,205000
681,205000
682,205000
683,205000
684,205000
685,205000
686,205000
687,205000
688,205000
689,205000
690,205000
691,205000
692,205000
693,205000
694,205000
695,205000
696,205000
697,205000
698,206000
699,206000
700,206000
701,206000
702,206000
703,206000
704,206000
705,206000
706,206000
707,206000
708,206000
709,206000
710,206000
711,206000
712,206000
713,206000
714,206000
715,206000
716,206000
717,206000
718,206000
719,206000
720,206000
721,206000
722,206000
723,206000
724,206000
725,206000
726,206000
727,206000
728,206000
729,206000
730,206000
731,206000
732,206000
733,206000
734,206000
735,206000
736,206000
737,206000
738,206000
739,206000
740,206000
741,206000
742,207000
743,207000
744,207000
745,207000
746,207000
747,207000
748,207000
749,207000
750,207000
